n_callers,n_members,n_cluster_edges,callers,members,labeled_roles,top_cluster_classes
1,7,21,EntityTick_ShadowMirror,0x0538a2ea;0x112ae088;0x2524e089;0x8139a088;0x9629a000;0xa628e009;0xd70880a4,,0x04909885(1);0x00e21319(1);0x004098a1(1);0x02ea9311(1);0x042e3a31(1);0x0224ed23(1)
1,6,15,ToggleMenuOptionState,0x0ad0f813;0x29c0e211;0x2ad0f011;0x68c0f413;0x69c04050;0x69c8f473,Text: Paused | Text: No | Text: Yes | Text: Quit | Text: Continue | Text: Quit Game,0x0111880d(1);0x00004011(1);0x00188403(1);0x086c6217(1);0x018c0c63(1);0x00018809(1)
1,6,15,KloggDeathEventHandler,0x800da102;0x800da116;0x800da11a;0x800da132;0x800da152;0x888da193,,0x00000003(4);0x00000005(3);0x00000009(2);0x00012211(1);0x00000011(1);0x00010a11(1)
1,6,15,InitMenuStage1,0x3080820d;0x3080840d;0x30808e0d;0x38a0c119;0x40b18011;0x68c01218,,0x00000003(2);0x020810c5(1);0x021c7031(1);0x01558409(1);0x00000005(1);0x02081145(1)
2,5,10,Callback_800570a4;ClayballState_DestroyWithDebris,0x462c6040;0x46346040;0x46386040;0x463e6040;0xd6bc2450,,0x00000003(3);0x00000005(2);0x00000009(1);0x04242411(1);0x04242211(1);0x04242111(1)
1,5,10,PlayerCallback_8005cce0,0x4260c8b5;0x54608016;0x5838cc16;0x91a9d01d;0xd167c005,,0x0024518b(1);0x0094634b(1);0x151a7923(1);0x0708b093(1);0x00031613(1);0x00bc5c95(1)
1,4,6,GlennYntisDeathEventHandler,0x18e88310;0x18e88510;0x18e88910;0x18e8c704,,0x00000003(2);0x00000005(1);0x00001105(1);0x00001085(1);0x00001385(1)
1,4,6,ShrineyGuardSoundUpdateTick,0x086e44c0;0x11eac4c0;0x204e44c0;0x205e40c2,,0x00003309(1);0x00000141(1);0x00402283(1);0x00006349(1);0x008c6d21(1);0x00080201(1)
1,3,3,SpawnCollectibleParticles,0x5a89815f;0x5ab9815f;0x5ad9815f,,0x00000003(2);0x00000005(1)
1,3,3,InitEntityWithChildSprite,0x222d9098;0x60889602;0x8429153c,,0x069a42a5(1);0x0242d253(1);0x067dc943(1)
1,3,3,TeleporterActivate,0x0bbb70ac;0x9389b8c4;0xc9387d8c,,0x06590d13(1);0x06141869(1);0x0b5638a9(1)
1,3,3,ClayballSpawnSwitchBlock,0x082e03d8;0x222222d8;0x262e0319,,0x002a0c21(1);0x00006097(1);0x03087041(1)
5,3,3,BossCollision_SpawnDebrisAndLayers;EntityInitCallback_80070850;PlayerCallback_8005d404;PlayerCallback_DeathDebrisSpawner;RunnEvent_CutsceneDebrisAndLevel,0xb468d0c6;0xb868d0c6;0xbe68d0c6,,0x00000003(2);0x00000005(1)
3,3,3,PlayerCallback_8005e574;PlayerCallback_8005e650;PlayerCallback_DeathAnimSetStateHandler,0x02a10c60;0x02c00e64;0x08814c64,,0x00184081(1);0x00102881(1);0x000520a1(1)
1,3,3,FinnDamageEventHandler,0x2e809804;0x2e811804;0x2e839804,,0x00000003(2);0x00000005(1)
1,2,1,Collectible1970IconTickCallback,0x408a6461;0x428a6465,,0x00000201(1)
1,2,1,EntityEventHandlerSpawnProjectile,0x24002913;0x61200640,,0x017a9a29(1)
1,2,1,InitPathFollowingHazard,0x12308128;0x74044081,,0x06a598d3(1)
1,2,1,InitCheckpointEntity,0x80729081;0x88329285,,0x00081021(1)
2,2,1,BossState_SpawnDeathParticle;Callback_80048f40,0x60de1050;0xa0cc18d0,,0x00482203(1)
1,2,1,CollectibleRiseState,0x424129a1;0x81421850,,0x0331f1c3(1)
1,2,1,CollectibleFloatState,0x66017821;0x82421850,,0x038f221b(1)
1,2,1,HazardActivateWithSound,0x7a318245;0x8068815c,,0x0319fa59(1)
1,2,1,HazardIdleWithSound,0x407801d0;0x62318245,,0x072a4493(1)
1,2,1,ShrineyGuardSetLoopingAttackState,0x40106054;0xc00200c9,,0x0024c13b(1)
1,2,1,JoeHeadJoeAttackEventHandler,0xf03391e9;0xf033a1e9,,0x00000003(1)
2,2,1,JoeHeadJoeMoveAndCheckAttack;JoeHeadJoeSetIdleState,0x0b290ba2;0x603588e8,,0x0694d639(1)
1,2,1,JoeHeadJoeMoveAndCheckAttack,0x0e3889be;0xf2810224,,0x1735f973(1)
1,2,1,InitKloggBoss,0x486492c4;0xcaadc032,,0x0592a5ed(1)
1,2,1,KloggSpawnProjectilesCallback,0x083488e2;0x1a2c8516,,0x01be8243(1)
1,2,1,JoeHeadJoeBallFallCallback,0x069580a0;0x34014841,,0x0994a647(1)
1,2,1,JoeHeadJoeBallStartRolling,0x0239cb33;0x70a09ce1,,0x2729957d(1)
1,2,1,PlayerTickCallback,0x40e28045;0xe0880448,,0x0354206d(1)
1,2,1,FinnDeathExplosion,0x088c5011;0x344210b1,,0x01e67205(1)
2,2,1,EntityInitCallback_800726c8;PlatformStateInit_ResumeWithSound,0x3c389550;0x40f8c274,,0x015c91f3(1)
2,2,1,Callback_80072de0;RunnEntityDamageEffect,0x1e181d10;0x40784034,,0x02e922f3(1)
1,2,0,EnemyPatrolState,0x60b93cbd;0x60b9bcbd,,
